team,year,country,pts,value
Queens Park Rangers,14/15,Premier League,30,115.05
FC Barcelona,14/15,La Liga,94,598.45
Real Madrid,14/15,La Liga,92,647.65
Atlético Madrid,14/15,La Liga,78,289
Valencia CF,14/15,La Liga,77,137.3
Sevilla FC,14/15,La Liga,76,122.85
Villarreal CF,14/15,La Liga,60,88.6
Athletic Bilbao,14/15,La Liga,55,110.5
Celta de Vigo,14/15,La Liga,51,39.4
Málaga CF,14/15,La Liga,50,62.35
RCD Espanyol,14/15,La Liga,49,55.1
Rayo Vallecano,14/15,La Liga,49,52.6
Real Sociedad,14/15,La Liga,46,107.3
Elche CF,14/15,La Liga,41,31.38
Getafe CF,14/15,La Liga,37,48.15
Levante UD,14/15,La Liga,37,47.1
SD Eibar,14/15,La Liga,35,21.1
Deportivo de La Coruña,14/15,La Liga,35,48.6
Granada CF,14/15,La Liga,35,60.98
UD Almería,14/15,La Liga,32,25.1
Córdoba CF,14/15,La Liga,20,44.7
Bayern Munchen,13/14,Bundesliga,90,566
Borussia Dortmund,13/14,Bundesliga,71,294.6
FC Schalke 04,13/14,Bundesliga,64,203.8
Bayer Leverkusen,13/14,Bundesliga,61,162.55
VfL Wolfsburg,13/14,Bundesliga,60,143.48
Bor. Monchengladbach,13/14,Bundesliga,55,117.28
1. FSV Mainz 05,13/14,Bundesliga,53,49.4
FC Augsburg,13/14,Bundesliga,52,40.8
1899 Hoffenheim,13/14,Bundesliga,44,103.98
Hannover 96,13/14,Bundesliga,42,61.6
Hertha BSC,13/14,Bundesliga,41,63.58
Werder Bremen,13/14,Bundesliga,39,52.2
Eintracht Frankfurt,13/14,Bundesliga,36,59.45
SC Freiburg ,13/14,Bundesliga,36,62.6
VfB Stuttgart,13/14,Bundesliga,32,91.95
Hamburger SV,13/14,Bundesliga,27,97.7
1.FC Nuremberg ,13/14,Bundesliga,26,29.78
Eintracht Braunschweig,13/14,Bundesliga,25,23.4
Bayern Munchen,12/13,Bundesliga,91,407.3
Borussia Dortmund,12/13,Bundesliga,66,227.68
Bayer Leverkusen,12/13,Bundesliga,65,115.9
FC Schalke 04,12/13,Bundesliga,55,171
SC Freiburg,12/13,Bundesliga,51,45.45
Eintracht Frankfurt,12/13,Bundesliga,51,51.2
Hamburger SV,12/13,Bundesliga,48,31.1
Bor. Monchengladbach,12/13,Bundesliga,47,81
Hannover 96,12/13,Bundesliga,45,88
1.FC Nuremberg ,12/13,Bundesliga,44,42.65
VfL Wolfsburg,12/13,Bundesliga,43,120.33
VfB Stuttgart,12/13,Bundesliga,43,102.03
1. FSV Mainz 05,12/13,Bundesliga,42,50.95
Werder Bremen,12/13,Bundesliga,34,79.2
FC Augsburg,12/13,Bundesliga,33,47
1899 Hoffenheim,12/13,Bundesliga,31,85.03
Fortuna Düsseldorf,12/13,Bundesliga,30,31.75
SpVgg Greuther Fürth,12/13,Bundesliga,21,29.15
Borussia Dortmund,11/12,Bundesliga,81,158.7
Bayern Munich ,11/12,Bundesliga,73,332.85
FC Schalke 04,11/12,Bundesliga,64,129.75
Bor. Monchengladbach,11/12,Bundesliga,60,65.55
Bayer Leverkusen,11/12,Bundesliga,54,138.05
VfB Stuttgart,11/12,Bundesliga,53,93.45
Hannover 96,11/12,Bundesliga,48,64.65
VfL Wolfsburg,11/12,Bundesliga,44,106.28
Werder Bremen,11/12,Bundesliga,42,113.5
1.FC Nuremberg,11/12,Bundesliga,42,40.3
1899 Hoffenheim,11/12,Bundesliga,41,86.58
SC Freiburg,11/12,Bundesliga,40,54.73
1.FSV Mainz 05,11/12,Bundesliga,39,49.85
FC Augsburg,11/12,Bundesliga,38,29.2
Hamburger SV,11/12,Bundesliga,36,101.1
Hertha BSC,11/12,Bundesliga,31,45.78
1. FC Köln,11/12,Bundesliga,30,68.68
1. FC Kaiserslautern,11/12,Bundesliga,23,46.45
Borussia Dortmund,10/11,Bundesliga,75,125.25
Bayer Leverkusen,10/11,Bundesliga,68,141.35
Bayern Munchen,10/11,Bundesliga,65,295.85
Hannover 96,10/11,Bundesliga,60,47.88
1. FSV Mainz 05,10/11,Bundesliga,58,53.6
1.FC Nuremberg,10/11,Bundesliga,47,39.7
1. FC Kaiserslautern,10/11,Bundesliga,46,37.8
Hamburger SV,10/11,Bundesliga,45,134.8
SC Freiburg,10/11,Bundesliga,44,40.6
1. FC Köln,10/11,Bundesliga,44,55.7
1899 Hoffenheim,10/11,Bundesliga,43,82.15
VfB Stuttgart,10/11,Bundesliga,42,100.1
Werder Bremen,10/11,Bundesliga,41,129.4
FC Schalke 04,10/11,Bundesliga,40,144.6
VfL Wolfsburg,10/11,Bundesliga,38,156.4
Bor. Monchengladbach,10/11,Bundesliga,36,60.9
Eintracht Frankfurt,10/11,Bundesliga,34,58.4
FC St. Pauli,10/11,Bundesliga,29,30.65
Manchester City ,13/14,Premier League,86,480.25
Liverpool FC ,13/14,Premier League,84,252
Chelsea FC ,13/14,Premier League,82,460.75
Arsenal FC ,13/14,Premier League,79,290.5
Everton FC ,13/14,Premier League,72,157.25
Tottenham Hotspur ,13/14,Premier League,69,297.5
Manchester United ,13/14,Premier League,64,393.25
Southampton FC ,13/14,Premier League,56,95.75
Stoke City ,13/14,Premier League,50,94.8
Newcastle United ,13/14,Premier League,49,169.5
Crystal Palace ,13/14,Premier League,45,43
Swansea City ,13/14,Premier League,42,117.75
West Ham United ,13/14,Premier League,40,95.75
Sunderland AFC ,13/14,Premier League,38,99.1
Aston Villa ,13/14,Premier League,38,117.25
